hour,elevation_deg,PAR_EvoEngine,PAR_Analytical,PAR_AZMET,date
6,6.976638898617662,409.8570697813839,18.301521922569258,54.84,"June 12, 2024"
7,18.81554380381369,601.8117788142531,217.44110649818225,353.41333333333336,"June 12, 2024"
8,31.080846760903388,651.4639031692614,564.0054658418007,786.04,"June 12, 2024"
9,43.58590940563055,799.359488441978,979.2305456456494,1236.9466666666665,"June 12, 2024"
10,56.130325098117815,948.5295289754856,1386.1349962955549,1620.8266666666668,"June 12, 2024"
11,68.3180992505358,1066.7749402200284,1708.275088576217,1931.5866666666664,"June 12, 2024"
12,78.38666454376498,1129.977442987725,1883.3798965718888,2132.6666666666665,"June 12, 2024"
13,77.88320370943747,1128.4500017961452,1877.0018672654328,2193.6000000000004,"June 12, 2024"
14,67.51138898796465,1061.7495745906497,1690.4128836087125,2126.5733333333333,"June 12, 2024"
15,55.27511360376949,939.754012999342,1360.3079620695128,1925.493333333333,"June 12, 2024"
16,42.7267114860055,787.0270703345768,950.3940374512928,1614.7333333333331,"June 12, 2024"
17,30.23483052044856,645.4069852536963,537.5087377241291,1212.5733333333335,"June 12, 2024"
18,17.995882527094356,602.2716426852402,198.34172078133955,767.76,"June 12, 2024"
19,6.198442740751145,401.92087123834966,12.692011412911713,335.1333333333333,"June 12, 2024"
20,-4.915716091782888,0.0,0.0,0.0,"June 12, 2024"
6,6.965465928853139,409.7347569360156,18.229423896842327,30.46666666666667,"June 13, 2024"
7,18.798870421298425,601.8256112114302,217.19494835151397,164.52,"June 13, 2024"
8,31.06038661396787,651.2350352643199,563.6677281706694,633.7066666666668,"June 13, 2024"
9,43.563538346012976,799.2090041210402,978.9218258000866,1035.8666666666668,"June 13, 2024"
10,56.10891623722169,948.319560279874,1386.034673511339,1401.466666666667,"June 13, 2024"
11,68.30452944103804,1066.667422466146,1708.5851178281848,1249.133333333333,"June 13, 2024"
12,78.40685362980874,1130.0532424975306,1884.2664450554053,633.7066666666668,"June 13, 2024"
13,77.95320759037438,1128.731209870625,1878.5382630717909,457.0,"June 13, 2024"
14,67.5795023361223,1062.3618481711926,1692.5419858014316,1803.6266666666663,"June 13, 2024"
15,55.340743907555975,940.62246460233,1362.8351107219182,1261.3199999999997,"June 13, 2024"
16,42.79191574951404,787.8281333359328,953.013597990372,974.9333333333334,"June 13, 2024"
17,30.30063820717977,646.0688122570936,539.8529573605637,871.3466666666667,"June 13, 2024"
18,18.06278243268041,603.4103073803363,200.0141569897279,353.41333333333336,"June 13, 2024"
19,6.266577246912275,403.856064137925,13.150110083305812,109.68,"June 13, 2024"
20,-4.846570281425843,0.0,0.0,0.0,"June 13, 2024"
