datetime,elevation_deg,azimuth_deg,zenith_deg,hour,PAR_mean,PAR_max,PAR_min,PAR_std,num_vertices
2024-06-13 06:00:00-07:00,6.965465928853139,66.73091439350856,83.03453407114687,6,1398.314453125,1398.314453125,1398.314453125,0.0,0
2024-06-13 07:00:00-07:00,18.798870421298425,73.97608017711491,71.20112957870157,7,1591.2799072265625,1591.2799072265625,1591.2799072265625,0.0,0
2024-06-13 08:00:00-07:00,31.06038661396787,80.91679885578287,58.93961338603213,8,1775.6787109375,1775.6787109375,1775.6787109375,0.0,0
2024-06-13 09:00:00-07:00,43.563538346012976,88.22162499049227,46.436461653987024,9,1873.48486328125,1873.48486328125,1873.48486328125,0.0,0
2024-06-13 10:00:00-07:00,56.10891623722169,97.13327439144183,33.89108376277831,10,1873.688232421875,1873.688232421875,1873.688232421875,0.0,0
2024-06-13 11:00:00-07:00,68.30452944103804,111.20394954977212,21.695470558961958,11,1772.3858642578125,1772.3858642578125,1772.3858642578125,0.0,0
2024-06-13 12:00:00-07:00,78.40685362980874,145.95158526426218,11.593146370191263,12,1575.962158203125,1575.962158203125,1575.962158203125,0.0,0
2024-06-13 13:00:00-07:00,77.95320759037438,217.5751618475221,12.046792409625624,13,1300.7354736328125,1300.7354736328125,1300.7354736328125,0.0,0
2024-06-13 14:00:00-07:00,67.5795023361223,249.9920684603183,22.420497663877697,14,1002.1917724609375,1002.1917724609375,1002.1917724609375,0.0,0
2024-06-13 15:00:00-07:00,55.340743907555975,263.5247569266506,34.659256092444025,15,753.8734130859375,753.8734130859375,753.8734130859375,0.0,0
2024-06-13 16:00:00-07:00,42.79191574951404,272.2767661422379,47.20808425048596,16,613.4085083007812,613.4085083007812,613.4085083007812,0.0,0
2024-06-13 17:00:00-07:00,30.30063820717977,279.5341084528924,59.69936179282023,17,822.9752807617188,822.9752807617188,822.9752807617188,0.0,0
2024-06-13 18:00:00-07:00,18.06278243268041,286.4784081325201,71.93721756731959,18,1014.6531372070312,1014.6531372070312,1014.6531372070312,0.0,0
2024-06-13 19:00:00-07:00,6.266577246912275,293.76171394048254,83.73342275308772,19,1130.7828369140625,1130.7828369140625,1130.7828369140625,0.0,0
2024-06-13 20:00:00-07:00,-4.846570281425843,301.9067651356023,94.84657028142584,20,0.0,0.0,0.0,0.0,0
